client_id - rec_list
"['03dad6a6a2c85118', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '실키 퍼프 화장솜', '토카 시몬 EDP 50ML', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬']"
"['8c8e70e6e80745ff', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '오 마이 래쉬 마스카라 3EA', '[피카소시그니처] FB13 파운데이션', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '알로에 리바이탈 수딩젤 300mL', '퓨리파잉 클렌징 워터', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치']"
"['144d3dd2a7c22600', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '19′ 미네랄 수분 피팅 베이스', '오 마이 래쉬 마스카라 3EA', '노웨어 젠틀 매트 #레드 밋츠 카페']"
"['1648fd250d57d59f', '오 마이 래쉬 마스카라 3EA', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '룰라러브 바디용 천연해면 스펀지 레귤러1+1', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '[피카소시그니처] FB13 파운데이션']"
"['9f1ea414d0144781', '[세트] 유칼립투스 샴푸/컨디셔너', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '[피카소시그니처] FB13 파운데이션', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '[5월이벤트2] 클렌징 티슈(10매*6개입)', '오 마이 래쉬 마스카라 3EA', '[보은/상품권] 에이지 어웨이 3종 세트', '[2입] 자양윤모 탈모증상케어 중건성 두피용 샴푸']"
"['977fc60695329d82', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '노세범모이스처파우더5g', '트리플 멀티 클렌징 크림', '토카 시몬 EDP 50ML', '[2입] 퍼펙트컬러 멋내기 8MB 매트브라운', '클린 큐브 4주', 'None', '돼지필링패드(5매입)']"
"['1843d89e3a4c8f6b', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬', '토카 시몬 EDP 50ML']"
"['1db105d70584daff', '[세트] 유칼립투스 샴푸/컨디셔너', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '토카 시몬 EDP 50ML', '순정 약산성 5.5토너 2+1', '노세범모이스처파우더5g', '[보은/상품권] 베이직 2종 세트_모이스춰', '자음생크림 오리지널', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '크리미 틴트 컬러밤 인텐스 미니 3종 스페셜 세트']"
"['972f79f7c8ae9d02', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '토카 시몬 EDP 50ML', '노세범모이스처파우더5g', '[보은/상품권] 베이직 2종 세트_모이스춰', '[대용량] 셀 에센스', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '순정 약산성 5.5토너 2+1', '테크닉 핏 샤프 컨투어 브러쉬']"
"['1ee3373d3e7199b1', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[대용량] 셀 에센스', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '실키 퍼프 화장솜', '19′ 미네랄 수분 피팅 베이스', '토카 시몬 EDP 50ML', '테크닉 핏 샤프 컨투어 브러쉬']"
"['1a1f2da4cddcca7f', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '토카 시몬 EDP 50ML', '노세범모이스처파우더5g', '[보은/상품권] 베이직 2종 세트_모이스춰', '[보은/상품권] 에이지 어웨이 3종 세트', '[2입] 퍼펙트컬러 멋내기 8MB 매트브라운', '자음생크림 오리지널', '테크닉 핏 샤프 컨투어 브러쉬']"
"['1fb6b21f8cbcb94d', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '[2입] 자양윤모 탈모증상케어 중건성 두피용 샴푸', '오 마이 래쉬 마스카라 3EA', '룰라러브 바디용 천연해면 스펀지 레귤러1+1', '블랙 컨실러 스프레드 커버', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '퓨리파잉 클렌징 워터']"
"['9f9288ad5137b32e', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '순정 약산성 5.5토너 2+1', '노웨어 젠틀 매트 #레드 밋츠 카페', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스']"
"['ab3f7957cc55843b', '[세트] 유칼립투스 샴푸/컨디셔너', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '토카 시몬 EDP 50ML', '[보은/상품권] 베이직 2종 세트_모이스춰', '노세범모이스처파우더5g', '자음생크림 오리지널', '19′ 비자 트러블 스팟 에센스', '테크닉 핏 샤프 컨투어 브러쉬', '[대용량] 셀 에센스']"
"['a475678609c9831f', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '실키 퍼프 화장솜', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '노웨어 젠틀 매트 #레드 밋츠 카페', '토카 시몬 EDP 50ML', '크리미 틴트 컬러밤 인텐스 미니 3종 스페셜 세트']"
"['2114fa64f20315e7', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬', '토카 시몬 EDP 50ML']"
"['2129118303fa6f7f', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '토카 시몬 EDP 50ML', '노세범모이스처파우더5g', '[보은/상품권] 베이직 2종 세트_모이스춰', '테크닉 핏 샤프 컨투어 브러쉬', '[2입] 퍼펙트컬러 멋내기 8MB 매트브라운', '패브릭 마스크 수분웨어 코튼겔 [1매]', '퍼펙트세럼 슈퍼리치 샴푸']"
"['ac59b6bbe4c41f40', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '토카 시몬 EDP 50ML', '[보은/상품권] 베이직 2종 세트_모이스춰', '[2입] 퍼펙트컬러 멋내기 8MB 매트브라운', '노세범모이스처파우더5g', '테크닉 핏 샤프 컨투어 브러쉬', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '19′ 미네랄 수분 피팅 베이스']"
"['2807e0edeb0c3b16', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '실키 퍼프 화장솜', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '노웨어 젠틀 매트 #레드 밋츠 카페', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스']"
"['3052999444d46ffa', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '노웨어 젠틀 매트 #레드 밋츠 카페', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스']"
"['bc5ce8b034f2d847', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '토카 시몬 EDP 50ML', '[보은/상품권] 베이직 2종 세트_모이스춰', '노세범모이스처파우더5g', '테크닉 핏 샤프 컨투어 브러쉬', '자음생크림 오리지널', '[보은/상품권] 에이지 어웨이 3종 세트', '19′ 미네랄 수분 피팅 베이스']"
"['307a5a08d0146a51', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '순정 약산성 5.5토너 2+1', '테크닉 핏 샤프 컨투어 브러쉬', '실키 퍼프 화장솜', '19′ 미네랄 수분 피팅 베이스', '패브릭 마스크 수분웨어 코튼겔 [1매]']"
"['b42b482736c48981', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '오 마이 래쉬 마스카라 3EA', '실키 퍼프 화장솜', '패브릭 마스크 수분웨어 코튼겔 [1매]', '테크닉 핏 샤프 컨투어 브러쉬']"
"['313b62be0a54043e', '포인트 클리닉 남성청결제', '오 마이 래쉬 마스카라 3EA', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '화이트 프로그램 래디언스 크림', '[피카소시그니처] FB13 파운데이션', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치']"
"['bf0e2ec1e1db45cd', '[3입] 아로마 에센셜 리바이탈라이징 샴푸 자스민&로즈마리', '테크닉 핏 샤프 컨투어 브러쉬', '랑세 오 드 라 쿠론 EDT 50ML', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '바디 프라이머 크림(Jar) [02]', '[세트] 유칼립투스 샴푸/컨디셔너', '슬림 하드 오토브로우', '19′ 미네랄 수분 피팅 베이스', '프라임 미 코렉티브 페이스 프라이머']"
"['34a8fd15eceee701', '오 마이 래쉬 마스카라 3EA', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '헤븐스 듀 올 오버 글리머', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '룰라러브 바디용 천연해면 스펀지 레귤러1+1', '화이트 프로그램 래디언스 크림']"
"['c0d23f95851a7aba', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '실키 퍼프 화장솜', '노웨어 젠틀 매트 #레드 밋츠 카페', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬']"
"['c25597769b3f6eb7', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '토카 시몬 EDP 50ML', '노세범모이스처파우더5g', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '[보은/상품권] 베이직 2종 세트_모이스춰', '[2입] 슈퍼 마일드 선 프라이머']"
"['359a8a0786ede114', '헤븐스 듀 올 오버 글리머', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', 'None', '워터 슬리핑 마스크', '605 블러셔', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '수딩 센서티브 젤 클렌저', '수이사이 뷰티 클리어 파우더 워시 32입', '민트 리프레싱 컨디셔너', '원킬 립앤아이 리무버 패드 70매입']"
"['412d45c19515192e', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '실키 퍼프 화장솜', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '토카 시몬 EDP 50ML', '[보은/상품권] 베이직 2종 세트_모이스춰', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스']"
"['c27810fd61d9a8bb', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '포인트 클리닉 남성청결제', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬', '[2입] 퍼펙트컬러 멋내기 8MB 매트브라운', '패브릭 마스크 수분웨어 코튼겔 [1매]', '퍼펙트세럼 슈퍼리치 샴푸', '페이스 디자이닝 브론저', '[리필] 레이어링 커버 쿠션 + 컨실링 베이스']"
"['4649869ced8e99c6', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '오 마이 래쉬 마스카라 3EA', '화이트 프로그램 래디언스 크림', '패브릭 마스크 수분웨어 코튼겔 [1매]', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '퍼펙트세럼 슈퍼리치 샴푸']"
"['c3cf335c571fe933', '오 마이 래쉬 마스카라 3EA', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '헤븐스 듀 올 오버 글리머', '605 블러셔', '수이사이 뷰티 클리어 파우더 워시 32입', '[2입] 세라마이드아토 큐어밤', '아리아나그란데 아리 바이 아리아나 그란데 오데퍼퓸 50ML', '수딩 센서티브 젤 클렌저', '원킬 립앤아이 리무버 패드 70매입', '화윤생 한방 거품염색']"
"['5207edb6ee0b21ad', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '[대용량] 셀 에센스', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '실키 퍼프 화장솜', '토카 시몬 EDP 50ML', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스']"
"['c42b0dfb7ba5bfb0', 'AC 클린업 약산성 클렌징 폼', '테크닉 핏 샤프 컨투어 브러쉬', '[세잔느] 슈퍼 슬림 아이브로우', '19′ 미네랄 수분 피팅 베이스', '애플 씨드 클렌징 오일 (대용량) 300mL', '프라임 미 코렉티브 페이스 프라이머', '퍼펙트뷰티 엑스트라 모이스트&샤인 450ml (샴푸/트리트먼트)', 'None', '글래머로즈 페탈립스', '[3입] 아로마 에센셜 리바이탈라이징 샴푸 자스민&로즈마리']"
"['477ebd6522d05d6b', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '[보은/상품권] 베이직 2종 세트_모이스춰', '[3입] 비듬케어 만다린&유자 샴푸', '스킨클리닉 마스크 마데카소사이드 [메이드바이유]', '[2입] 슈퍼 마일드 선 프라이머']"
"['c6c3fd91bb1070e1', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '오 마이 래쉬 마스카라 3EA', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '화이트 프로그램 래디언스 크림', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', 'B5+ 비오틴 포티파잉 샴푸 400ml', '샤인 시크 립라커', '[세트] 쿨링 멘톨 탄산수 샴푸/린스']"
"['c75041d24a601560', '오 마이 래쉬 마스카라 3EA', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '화윤생 한방 거품염색', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '[피카소시그니처] FB13 파운데이션']"
"['5a6c46eddd87deac', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '노웨어 젠틀 매트 #레드 밋츠 카페', '테크닉 핏 샤프 컨투어 브러쉬', '19′ 미네랄 수분 피팅 베이스']"
"['c7eeebbb129f8846', '[세트] 유칼립투스 샴푸/컨디셔너', '포인트 클리닉 남성청결제', '[피카소시그니처] FB13 파운데이션', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '딥 씨 워터폴 리치크림', '[5월이벤트2] 클렌징 티슈(10매*6개입)', '오 마이 래쉬 마스카라 3EA', '비타민 E 마스크 미니어쳐', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '화이트 프로그램 래디언스 크림']"
"['5d6f3e5b8c81bb5e', '포인트 클리닉 남성청결제', '[대용량] 셀 에센스', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '실키 퍼프 화장솜', '순정 약산성 5.5토너 2+1', '[2입] 슈퍼 마일드 선 프라이머', '[6입] 훼이셜 요거트 매끈폼', '토카 시몬 EDP 50ML']"
"['cee4b33317f17d74', '오 마이 래쉬 마스카라 3EA', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '포인트 클리닉 남성청결제', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '화이트 프로그램 래디언스 크림', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '샤인 시크 립라커', 'B5+ 비오틴 포티파잉 샴푸 400ml']"
"['5e02d09182f16919', '오 마이 래쉬 마스카라 3EA', '포인트 클리닉 남성청결제', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '화윤생 한방 거품염색', '[피카소시그니처] FB13 파운데이션', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '[리필] 스ㅤㅇㅞㅅ 스타일링 바디 오 드 뚜왈렛', '퓨리파잉 클렌징 워터']"
"['64d3c1f02dcf0205', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '[대용량] 셀 에센스', '실키 퍼프 화장솜', '노웨어 젠틀 매트 #레드 밋츠 카페', '패브릭 마스크 수분웨어 코튼겔 [1매]', '토카 시몬 EDP 50ML']"
"['d00902c61d1c20e1', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '오 마이 래쉬 마스카라 3EA', '실키 퍼프 화장솜', '19′ 미네랄 수분 피팅 베이스', '노웨어 젠틀 매트 #레드 밋츠 카페']"
"['6af4d06dfe4b6c8d', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '순정 약산성 5.5토너 2+1', '[대용량] 셀 에센스', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '실키 퍼프 화장솜', '노웨어 젠틀 매트 #레드 밋츠 카페', '오 마이 래쉬 마스카라 3EA', '테크닉 핏 샤프 컨투어 브러쉬']"
"['d358ffb8c8514e52', '오 마이 래쉬 마스카라 3EA', '[피카소] PROOF SILVER 베이스 5종 세트+휴대용 쿠션 파우치', '포인트 클리닉 남성청결제', '딥 씨 워터폴 리치크림', '[세트] 유칼립투스 샴푸/컨디셔너', '데싱디바 매직젤스트립 퓨어애리얼 DGST56', '무드 업 듀얼 아이 섀도우 브러쉬 포 히어로즈', '랑팔라투르 천연비누 아몬드-허니 150g(사봉롱드)', '[5월이벤트2] 클렌징 티슈(10매*6개입)', '[피카소시그니처] FB13 파운데이션']"
"['6b0cfb5eaec2e244', '[3입] 아로마 에센셜 리바이탈라이징 샴푸 자스민&로즈마리', '프라임 미 코렉티브 페이스 프라이머', '테크닉 핏 샤프 컨투어 브러쉬', '[세잔느] 슈퍼 슬림 아이브로우', '마이 에센셜 바디 리프레싱 시트러스 바디 로션', '제주왕벚꽃 톤업 크림 (튜브) 50mL+GIFT', '애플 씨드 클렌징 오일 (대용량) 300mL', '포인트 클리닉 남성청결제', '워터리 선 크림 SPF50+ PA++++', '19′ 미네랄 수분 피팅 베이스']"
"['6b2361fab838424d', '포인트 클리닉 남성청결제', '[세트] 유칼립투스 샴푸/컨디셔너', '딥 씨 워터폴 리치크림', '[대용량] 셀 에센스', '토카 시몬 EDP 50ML', '[3입] 상쾌한 향 프레쉬 애플 샴푸', '순정 약산성 5.5토너 2+1', '19′ 미네랄 수분 피팅 베이스', '테크닉 핏 샤프 컨투어 브러쉬', '실키 퍼프 화장솜']"
